主類別,次類別,任務,範例提示 (Prompt),關鍵要素與原理
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.4 AI 輔助的行為驅動開發 (BDD)","將非 BDD 格式的測試案例轉換為 Gherkin 語法","我有一些傳統格式的測試案例描述，例如：『測試使用者登入：1. 輸入有效帳號。2. 輸入有效密碼。3. 點擊登入。4. 驗證是否跳轉到儀表板。』請將其轉換為 Gherkin 的 Given/When/Then 格式的場景。","**格式轉換** (`轉換為 Gherkin 語法`)：AI 輔助將現有測試資產遷移到 BDD 框架。**語義理解** (`傳統格式的測試案例描述`)：AI 需要理解原始測試案例的意圖。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","重構類別以符合單一職責原則 (SRP)","你是一位遵循 SOLID 原則的資深軟體架構師。以下這個 `UserService` Java 類別同時處理使用者資料管理和寄送通知郵件，違反了單一職責原則。請將其重構為兩個獨立的類別：一個 `UserPersistenceService` 負責使用者資料的 CRUD 操作，另一個 `NotificationService` 負責寄送郵件。請提供重構後的兩個類別的完整程式碼，並解釋你的重構如何符合 SRP。\n```java\n// [貼上原始的 UserService 程式碼]\npublic class UserService {\n    public void registerUser(String username, String email) { /* ... 儲存使用者 ... */ /* ... 寄送歡迎郵件 ... */ }\n    public User getUser(String id) { /* ... 獲取使用者 ... */ return null; }\n    // ... 其他方法 ...\n}\n```","**原則聚焦** (`違反了單一職責原則`, `如何符合 SRP`)：明確指出要應用的 SOLID 原則，並要求 AI 解釋其重構決策。**職責分離** (`重構為兩個獨立的類別`)：指導 AI 將混合的職責拆分到不同的模組中，這是 SRP 的核心思想。**提供原始碼上下文** (`// [貼上原始的 UserService 程式碼]`)：讓 AI 基於現有程式碼進行重構，而不是從零開始。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","使用開閉原則 (OCP) 擴展類別功能","你是一位熟悉設計模式的 Python 開發者。我們有一個 `ShapeCalculator` 類別，它目前只能計算矩形面積。我們需要增加計算圓形面積的功能，但根據開閉原則，我們不應修改 `ShapeCalculator` 的現有程式碼。請展示如何使用策略模式 (Strategy Pattern) 或類似方法來擴展功能，使得可以輕易加入新的形狀計算，而無需修改 `ShapeCalculator` 本身。請提供所有相關的類別和介面定義。\n```python\n# 原始 ShapeCalculator\nclass Shape:\n    pass\n\nclass Rectangle(Shape):\n    def __init__(self, width, height):\n        self.width = width\n        self.height = height\n\nclass ShapeCalculator:\n    def calculate_area(self, shape):\n        if isinstance(shape, Rectangle):\n            return shape.width * shape.height\n        # BAD: Adding Circle here would modify this class\n        return 0\n```","**OCP 強調** (`不應修改...現有程式碼`)：直接點明開閉原則的核心要求——對擴展開放，對修改封閉。**設計模式應用** (`使用策略模式或類似方法`)：提示 AI 運用已知的設計模式來達成 OCP，策略模式是實現此原則的經典方法之一。**可擴展性** (`使得可以輕易加入新的形狀計算`)：要求 AI 設計的解決方案具有良好的擴展性，以應對未來的需求變更。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","檢查子類別是否符合里氏替換原則 (LSP)","你是一位關注程式碼正確性的軟體工程師。我們有一個 `Bird` 基底類別和一個 `Penguin` 子類別。`Bird` 有一個 `fly()` 方法。企鵝是一種鳥，但不會飛。請分析以下 Python 程式碼，判斷 `Penguin` 類別的設計是否違反了里氏替換原則 (LSP)。如果違反了，請解釋原因，並提出修改建議，使得 `Penguin` 仍然可以被視為 `Bird` 的一種，但不違反 LSP (例如，透過重新思考 `fly()` 方法的語義或繼承結構)。\n```python\nclass Bird:\n    def fly(self):\n        print(\"This bird can fly\")\n\nclass Penguin(Bird):\n    def fly(self):\n        raise Exception(\"Penguins cannot fly!\") # 或者 pass, 或者 return False\n\n# 使用範例\ndef make_bird_fly(bird: Bird):\n    bird.fly()\n\nmake_bird_fly(Penguin()) # 可能會產生非預期行為或錯誤\n```","**LSP 驗證** (`判斷...是否違反了里氏替換原則`)：要求 AI 對繼承關係的正確性進行評估，核心是子類別是否能無縫替換父類別。**行為一致性** (`企鵝是一種鳥，但不會飛`)：點出子類別與父類別在行為上的不一致，這是 LSP 常見的違反點。**提供修復方案** (`提出修改建議`)：不僅要求 AI 識別問題，還要提供解決方案，引導開發者設計更穩健的繼承體系。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","根據介面隔離原則 (ISP) 重構大型介面","你是一位 API 設計專家。以下這個 `Worker` Java 介面過於龐大，它包含了所有類型工人可能執行的動作，但並非所有實作類別都需要所有方法。例如，一個 `RobotWorker` 可能不需要 `eat()` 或 `sleep()` 方法。請根據介面隔離原則 (ISP) 將此介面重構為多個更小、更具體的介面 (例如 `Workable`, `Feedable`, `Restable`)，並展示一個 `HumanWorker` 和一個 `RobotWorker` 類別如何實現這些新介面。\n```java\n// 原始的胖介面\ninterface Worker {\n    void work();\n    void eat();\n    void sleep();\n    void recharge(); // 假設這是 Robot 特有的\n}\n\nclass HumanWorker implements Worker { /* ... */ }\nclass RobotWorker implements Worker { /* ... 但 eat/sleep 不適用 */ }\n```","**ISP 應用** (`根據介面隔離原則...重構`)：明確指示 AI 應用 ISP，避免用戶端被迫依賴它們不需要的介面。**介面拆分** (`重構為多個更小、更具體的介面`)：指導 AI 進行介面分解，使得每個介面都服務於一個特定的客戶端需求。**角色化介面** (`Workable`, `Feedable`, `Restable`)：鼓勵 AI 創建基於角色的介面，使類別可以根據其能力選擇實現哪些介面。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","依賴反轉原則 (DIP) 重構程式碼以依賴抽象","你是一位推崇依賴反轉原則的 Python 開發者。在以下程式碼中，`ReportGenerator` 高層模組直接依賴於 `ConsoleLogger` 低層模組。這違反了依賴反轉原則。請重構此程式碼：1. 建立一個抽象的 `Logger` 介面 (或抽象基礎類別)。2. 讓 `ConsoleLogger` 實現此介面。3. 修改 `ReportGenerator` 使其依賴於 `Logger` 抽象，而不是 `ConsoleLogger` 實體。請提供重構後的完整程式碼，並解釋如何透過依賴注入 (Dependency Injection) 來提供具體的 logger 實例給 `ReportGenerator`。\n```python\n# 原始程式碼\nclass ConsoleLogger:\n    def log(self, message):\n        print(f\"LOG: {message}\")\n\nclass ReportGenerator:\n    def __init__(self):\n        self.logger = ConsoleLogger() # 直接依賴具體實現\n\n    def generate_report(self, data):\n        self.logger.log(\"Generating report...\")\n        # ... report generation logic ...\n        self.logger.log(\"Report generated.\")\n```","**DIP 目標** (`依賴於抽象，而不是實體`)：清晰地闡述依賴反轉原則的核心思想。**抽象建立** (`建立一個抽象的 Logger 介面`)：指導 AI 引入抽象層，這是實現 DIP 的關鍵步驟。**依賴注入** (`解釋如何透過依賴注入`)：要求 AI 不僅修改依賴關係，還要展示如何將具體的依賴項（如 `ConsoleLogger`）在執行時傳遞給高層模組，這是 DIP 的常見實踐方式。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","解釋某段程式碼如何違反了特定的 SOLID 原則，並提供修正範例","請分析以下 C# 程式碼片段。它是否違反了開閉原則 (OCP)？如果是，請解釋是如何違反的，並提供一個使用例如策略模式或裝飾器模式的重構版本以符合 OCP。\n```csharp\n// [貼上程式碼片段]\n```","**原則性分析** (`解釋某段程式碼如何違反了特定的 SOLID 原則`)：AI 進行深度程式碼分析，並以 SOLID 原則為基準進行評估。**教學性解釋** (`解釋是如何違反的`)：幫助開發者理解原則的實際應用和常見誤區。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.5 AI 輔助的 SOLID 原則重構","針對一段程式碼，依次評估其是否符合 SOLID 的每一項原則，並給出總體評價和改進建議","請全面審查以下這段 Python 類別的程式碼。針對 SOLID 的五個原則（SRP, OCP, LSP, ISP, DIP），逐一評估該類別的設計是否符合，並解釋原因。最後，給出一個總體評價和主要的改進建議方向。\n```python\n# [貼上類別程式碼]\n```","**全面評估** (`依次評估其是否符合 SOLID 的每一項原則`)：進行系統性的設計品質審查。**綜合建議** (`總體評價和主要的改進建議方向`)：提供宏觀的改進思路。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.6 AI 輔助的 API 互動與整合","根據 OpenAPI/Swagger 規格生成 API 用戶端程式碼","你是一位熟悉 [Python/Java/JavaScript] 的 API 整合專家。這裡有一份 OpenAPI 3.0 規格檔案 (`[貼上規格內容或提供檔案路徑]`)，請為其中的 `/users` 和 `/products` 端點生成對應的用戶端請求程式碼。程式碼應包含處理請求、回應以及基本錯誤處理的函式。","**規格驅動程式碼生成** (`根據 OpenAPI 3.0 規格檔案`)：利用標準化的 API 描述直接生成可用的用戶端程式碼，減少手動編寫的重複工作。**多語言支援** (`熟悉 [Python/Java/JavaScript]`)：AI 能夠根據指定的程式語言生成對應的用戶端。**錯誤處理基礎** (`基本錯誤處理`)：提示 AI 考慮到 API 呼叫中常見的失敗情境。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.6 AI 輔助的 API 互動與整合","生成呼叫第三方 API 的程式碼片段 (例如，Stripe 付款、Twilio SMS)","請用 Node.js 為我生成一段程式碼，用於呼叫 Stripe API 來創建一個新的支付意圖 (Payment Intent)。需要包含必要的 API 金鑰處理（從環境變數讀取）、金額、貨幣和一個簡單的成功/失敗日誌記錄。","**特定服務整合** (`呼叫 Stripe API`)：針對常見的第三方服務，AI 可以提供快速的整合程式碼範例。**安全實踐** (`API 金鑰處理（從環境變數讀取）`)：引導 AI 生成安全的程式碼，避免硬編碼敏感資訊。**實用性** (`簡單的成功/失敗日誌記錄`)：加入基本的日誌記錄，方便調試和追蹤。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.6 AI 輔助的 API 互動與整合","為 API 端點生成模擬 (Mock) 回應資料","根據以下 OpenAPI 規格中對 `GET /api/v1/items/{itemId}` 端點的回應結構描述，請生成 3 個不同的模擬 JSON 回應範例，包含一個成功回應和兩個不同錯誤情況的回應（例如，找不到項目、無效請求）。\n```yaml\n# [貼上相關的 OpenAPI 回應結構片段]\n```","**測試輔助** (`生成模擬 (Mock) 回應資料`)：方便前端或用戶端在後端 API 未完成時進行開發和測試。**規格遵循** (`根據以下 OpenAPI 規格`)：確保模擬資料符合 API 合約。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.6 AI 輔助的 API 互動與整合","解釋如何處理 API 的速率限制 (Rate Limiting) 和重試邏輯","我正在整合一個外部 API，該 API 有速率限制（例如每分鐘 100 次請求）。請解釋在 Python 中實現客戶端速率控制和帶有指數退避 (exponential backoff) 的自動重試邏輯的最佳實踐和常用庫。","**API 使用策略** (`處理 API 的速率限制和重試邏輯`)：提供處理真實世界 API 互動複雜性的指導。**最佳實踐與工具推薦** (`最佳實踐和常用庫`)：AI 分享經驗和工具，幫助開發者構建更健壯的 API 用戶端。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.7 AI 輔助的程式碼註解與文件化","為現有函式或類別生成說明性註解 (Docstrings/JSDoc)","你是一位注重程式碼可讀性的開發者。請為以下這個 Python 函式 `calculate_complex_metric(data, config)` 生成符合 PEP 257 標準的 Docstring。Docstring 應描述函式的功能、參數（型別和說明）以及返回值。\n```python\n# [貼上函式程式碼]\ndef calculate_complex_metric(data, config):\n    # ... 複雜的邏輯 ...\n    return result\n```","**自動化文件** (`生成符合 PEP 257 標準的 Docstring`)：AI 能夠理解程式碼邏輯並自動生成標準格式的註解，提高程式碼的可維護性。**上下文理解** (`描述函式的功能、參數...以及返回值`)：AI 需要分析程式碼來提取這些關鍵資訊。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.7 AI 輔助的程式碼註解與文件化","將程式碼邏輯翻譯成自然語言解釋","請用簡明扼要的自然語言解釋以下這段 Java 程式碼片段的功能和主要步驟：\n```java\n// [貼上程式碼片段]\n```","**程式碼可解釋性** (`翻譯成自然語言解釋`)：幫助開發者快速理解陌生的或複雜的程式碼片段，降低學習曲線。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.7 AI 輔助的程式碼註解與文件化","根據程式碼變更自動更新相關註解","我修改了以下 Python 函式，改變了其參數和部分邏輯。舊的 Docstring 如下。請根據新的程式碼生成更新後的 Docstring。\n舊 Docstring:\n```\n# [貼上舊 Docstring]\n```\n新函式程式碼:\n```python\n# [貼上修改後的函式程式碼]\n```","**文件同步** (`根據程式碼變更自動更新相關註解`)：幫助保持程式碼和文件的一致性，減少文件過時的問題。**差異分析** (隱含)：AI 需要比較新舊程式碼以確定註解的變更點。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.7 AI 輔助的程式碼註解與文件化","從程式碼註解生成 Markdown 格式的簡易 API 文件","分析以下這個 Java 類別及其 Javadoc 註解。請提取公開方法 (public methods) 的資訊（方法名、參數、返回值、簡要描述），並生成一個 Markdown 格式的簡易 API 文件摘要。\n```java\n// [貼上帶有 Javadoc 的類別程式碼]\n```","**文件生成** (`生成 Markdown 格式的簡易 API 文件`)：自動化產生面向開發者的 API參考文件。**註解解析** (`分析以下這個 Java 類別及其 Javadoc 註解`)：AI 從結構化的註解中提取資訊。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.8 AI 輔助的演算法選擇與優化建議","針對特定問題推薦合適的資料結構或演算法","我需要處理一個頻繁進行插入、刪除和搜尋操作的資料集合，資料量大約在 10 萬筆左右，搜尋效能至關重要。請推薦幾種合適的 Python 資料結構或演算法，並比較它們在這種情境下的優缺點。","**問題導向推薦** (`針對特定問題推薦`)：AI 基於問題的特性（如操作類型、資料規模、效能要求）提供專業建議。**權衡分析** (`比較它們...的優缺點`)：AI 不僅給出答案，還能分析不同方案的利弊，輔助決策。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.8 AI 輔助的演算法選擇與優化建議","分析現有程式碼的效能瓶頸並提出優化建議","你是一位 Python 效能優化專家。請分析以下這段處理資料的程式碼，指出潛在的效能瓶頸，並提出至少三個具體的優化建議（例如，改進迴圈、使用更高效的庫函式、並行化等）。\n```python\n# [貼上待分析的程式碼]\n```","**效能診斷** (`指出潛在的效能瓶頸`)：AI 運用其對語言特性和常見低效寫法的理解來識別問題。**具體優化方案** (`提出至少三個具體的優化建議`)：提供可操作的改進措施，幫助提升程式碼執行效率。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.8 AI 輔助的演算法選擇與優化建議","比較不同演算法在特定情境下的時間與空間複雜度","對於一個未排序的整數陣列，請比較使用『氣泡排序』、『快速排序』和 Python 內建的 `sort()` 方法來排序的時間複雜度（平均情況和最壞情況）和空間複雜度。並簡要說明它們的適用場景。","**理論分析** (`比較...時間與空間複雜度`)：AI 運用其電腦科學基礎知識進行理論比較。**情境化比較** (`適用情境`)：幫助開發者根據實際需求做出選擇。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.8 AI 輔助的演算法選擇與優化建議","將遞迴演算法轉換為迭代版本，或反之","以下是一個計算階乘的遞迴 Python 函式。請將其轉換為一個等效的迭代版本。\n```python\ndef factorial_recursive(n):\n    if n == 0:\n        return 1\n    else:\n        return n * factorial_recursive(n-1)\n```","**演算法轉換** (`將遞迴演算法轉換為迭代版本`)：展示 AI 在不同演算法實現範式間的轉換能力，有助於理解或效能優化。"
"第 4 節：智慧品質保證 - AI 在自動化測試中的應用","4.1 智慧測試案例與資料生成","為函式生成單元測試","你是一位注重測試覆蓋率的軟體開發工程師。請為以下這個 Python 函式 `calculate_discount(price, is_premium_member)`，使用 `pytest` 框架生成一組單元測試。測試案例應涵蓋：1. 標準情況（非會員，正價）。2. 會員折扣情況。3. 邊界情況（價格為 0 或負數）。4. 型別錯誤（例如，價格為字串）。請確保測試函式命名清晰，並包含斷言 (assertions)。","**指定測試框架** (`使用 pytest 框架`)：確保生成的程式碼符合特定工具的語法和慣例。**要求測試覆蓋類型** (`涵蓋：...`)：明確指示 AI 考慮各種測試場景，包括正面、負面和邊界測試，以確保測試的全面性 [15]。**遵循命名慣例** (`命名清晰`)：這有助於生成易於理解和維護的測試程式碼。"
"第 4 節：智慧品質保證 - AI 在自動化測試中的應用","4.1 智慧測試案例與資料生成","從使用者故事生成驗收測試","基於以下使用者故事和驗收標準，請使用 Gherkin 語法 (Given/When/Then) 為一個 Web 應用生成一個功能測試場景。使用者故事：「作為一個已登入的使用者，我想要將商品加入購物車，以便我之後可以購買。」驗收標準：- 當我點擊「加入購物車」按鈕時，商品應被加入。- 購物車圖示上的數字應加一。- 頁面應顯示一個成功的提示訊息。","**行為驅動開發 (BDD)** (`使用 Gherkin 語法`)：要求 AI 生成一種能被業務人員和開發者共同理解的測試描述語言，促進團隊協作。**從需求到測試** (`基於以下使用者故事...`)：這展示了如何將高層次的需求直接轉化為可執行的測試規格，實現了需求與測試的緊密連結 [16]。"
"第 4 節：智慧品質保證 - AI 在自動化測試中的應用","4.1 智慧測試案例與資料生成","生成逼真的測試資料","請為一個註冊表單生成 10 組 JSON 格式的假資料 (mock data)。每組資料應包含 `firstName`, `lastName`, `email` (格式需正確), `password` (長度至少 8 位，包含大小寫字母和數字) 和 `birthDate` (格式為 YYYY-MM-DD，且年齡在 18 到 99 歲之間)。","**資料生成與約束** (`生成 10 組...`, `格式需正確`, `長度至少 8 位...`)：利用 AI 生成符合特定規則和约束的結構化資料，這對於需要大量且多樣化輸入的測試場景非常有用 [15]。"
"第 4 節：智慧品質保證 - AI 在自動化測試中的應用","4.2 自我修復自動化與根本原因分析","分析 E2E 測試失敗日誌","你是一位資深的 QA 自動化工程師。我們的 Cypress 端對端測試在 CI/CD 流程中失敗了。以下是失敗測試的日誌和錯誤訊息：[貼上 Cypress 日誌和錯誤截圖的文字描述]。請分析這些資訊，並提出 3 個最可能的失敗根本原因。對於每個原因，請說明你的推斷依據，並建議下一步的除錯步驟。","**專家角色扮演** (`你是一位資深的 QA 自動化工程師`)：引導 AI 以特定領域的專業知識來分析問題。**提供完整上下文** (`[貼上...日誌和錯誤訊息]`)：提供盡可能多的失敗相關資訊，能讓 AI 的分析更準確。**結構化診斷** (`提出 3 個最可能的...原因`, `建議...除錯步驟`)：要求 AI 提供一個結構化的、可操作的診斷報告，而不僅僅是模糊的猜測。"
"第 4 節：智慧品質保證 - AI 在自動化測試中的應用","4.2 自我修復自動化與根本原因分析","從堆疊追蹤推斷根本原因","我們的 Java 應用程式在生產環境中拋出了一個 `NullPointerException`。以下是相關的堆疊追蹤：[貼上堆疊追蹤]。請分析此堆疊追蹤，並解釋：1. 異常發生的確切位置（類別和行號）。2. 根據呼叫堆疊，哪個物件最可能是 `null`？3. 為了永久修復此問題，應該在哪段程式碼中加入空值檢查？","**程式碼級別分析** (`分析此堆疊追蹤`)：這是一個非常具體的技術任務，利用 AI 對程式語言和執行時錯誤的理解來進行診斷。**根本原因推斷** (`哪個物件最可能是 null？`)：要求 AI 進行邏輯推理，而不僅僅是讀取堆疊追蹤的表面資訊。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.1 AI 輔助的生產級基礎設施即程式碼 (IaC)","生成具備安全性的 AWS VPC Terraform 程式碼","**第一步 (生成):** `請使用 Terraform 為 AWS 生成一個生產環境的 VPC。VPC 應包含：- 兩個公共子網路和兩個私有子網路，分佈在不同的可用區。- 一個 Internet Gateway 和一個 NAT Gateway。- 配置路由表，確保私有子網路的實例可以透過 NAT Gateway 訪問網際網路。` **第二步 (護欄驗證):** `現在，扮演一位雲端安全專家。審查剛剛生成的 Terraform 程式碼。請檢查並修正以下問題：1. 網路 ACL (NACL) 規則是否過於寬鬆？請應用最小權限原則。2. 是否啟用了 VPC Flow Logs，並將其導向 S3 儲存桶進行稽核？如果沒有，請加入。3. 確保所有相關資源（如 S3 儲存桶）都應用了加密和適當的標籤 (tags)。`","**情境豐富的規格** (`生產環境的 VPC`, `公共/私有子網路`)：提供詳細的、符合真實世界需求的規格，而不僅僅是通用請求 [17]。**護欄驅動生成** (`扮演一位...安全專家`, `審查...並修正`)：採用兩步法，先生成再驗證，強制 AI 進行自我審查和修正，以彌補其在單次生成中容易忽略安全細節的弱點 [18, 19]。**非功能性需求** (`VPC Flow Logs`, `標籤`)：明確提出監控、稽核和管理方面的需求，這些是生產級基礎設施的關鍵組成部分。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.1 AI 輔助的生產級基礎設施即程式碼 (IaC)","為 Kubernetes 應用生成 Helm Chart","請為一個由 `frontend` 和 `backend` 兩個微服務組成的應用程式，生成一個基本的 Helm Chart 結構。`frontend` 是一個 Nginx 服務，`backend` 是一個基於 Go 的 API 服務。請創建 `Chart.yaml`, `values.yaml`，以及 `templates` 目錄下的 `deployment.yaml` 和 `service.yaml` 檔案。在 `values.yaml` 中，應允許配置每個服務的副本數 (replicaCount) 和映像檔標籤 (image.tag)。","**特定工具語法** (`生成一個基本的 Helm Chart 結構`)：指示 AI 生成特定 IaC 工具（此處為 Helm）所需的檔案結構和語法。**參數化配置** (`在 values.yaml 中，應允許配置...`)：要求 AI 遵循 Helm 的最佳實踐，將可變配置提取到 `values.yaml` 中，以提高 Chart 的可重用性和靈活性。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.1 AI 輔助的生產級基礎設施即程式碼 (IaC)","生成 Ansible Playbook 用於伺服器配置","請生成一個 Ansible Playbook，用於在一台新的 Ubuntu 22.04 伺服器上安裝和配置 Nginx。Playbook 應完成以下任務：1. 使用 `apt` 模組更新套件快取並安裝 `nginx`。2. 使用 `template` 模組，將一個本地的 `nginx.conf.j2` 範本檔案部署到伺服器的 `/etc/nginx/nginx.conf`。3. 使用 `service` 模組，確保 `nginx` 服務已啟動並設定為開機自啟。","**任務自動化** (`生成一個 Ansible Playbook`)：利用 AI 自動化伺服器配置管理任務，減少手動操作和錯誤。**冪等性** (`確保...已啟動`)：Ansible 的核心原則是冪等性。提示中使用的動詞（如 `安裝`、`確保`）隱含了對冪等性的要求，AI 通常能很好地理解並生成對應的模組用法。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.2 CI/CD 流程自動化","GitHub Actions","請為一個 Python 專案生成一個 GitHub Actions workflow 的 YAML 檔案。流程應在每次推送到 `main` 分支時觸發。它需要包含以下作業 (jobs)：1. `test` 作業：設置 Python 3.9 環境，安裝依賴項 (`requirements.txt`)，並使用 `pytest` 運行測試。2. `lint` 作業：使用 `flake8` 檢查程式碼風格。3. `build-and-push` 作業：此作業應在 `test` 和 `lint` 成功後運行。它會建構一個 Docker 映像檔，並將其推送到 GitHub Container Registry (GHCR)。請使用矩陣策略 (matrix strategy) 在 Python 3.8, 3.9 和 3.10 上並行運行 `test` 作業。","**觸發條件與依賴** (`在每次推送到 main 分支時觸發`, `在 test 和 lint 成功後運行`)：清晰地定義流程的觸發時機和作業之間的依賴關係 [20]。**矩陣建構** (`使用矩陣策略`)：要求 AI 使用 CI/CD 工具的進階功能，以並行方式在多個環境中進行測試，提高效率。**整合容器化** (`建構一個 Docker 映像檔`)：將程式碼建構與容器化流程無縫整合，這是現代 CI/CD 的常見實踐。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.2 CI/CD 流程自動化","GitLab CI/CD","請為一個 Node.js 專案生成一個 `.gitlab-ci.yml` 檔案。流程應包含以下階段 (stages)：`build`, `test`, `deploy`。- `build` 階段：安裝 npm 依賴項並執行建構腳本。- `test` 階段：運行 `jest` 測試。- `deploy` 階段：此階段應只在對 `main` 分支的提交上運行。它會將建構好的靜態檔案部署到 AWS S3。請使用 GitLab 的快取 (caching) 功能來快取 `node_modules` 目錄，以加速後續的流程運行。","**階段定義** (`包含以下階段...`)：GitLab CI 的核心是階段。明確定義階段有助於 AI 生成結構清晰的流程。**環境特定部署** (`只在對 main 分支的提交上運行`)：展示如何使用 CI/CD 工具的規則 (rules) 或條件 (only/except) 來控制特定作業的執行時機。**效能優化** (`使用 GitLab 的快取功能`)：要求 AI 應用平台提供的效能優化特性，以減少不必要的重複工作 [21]。"
"第 5 節：DevOps 前沿 - AI 在 CI/CD 與基礎設施管理中的應用","5.2 CI/CD 流程自動化","Jenkins","請為一個 Java/Maven 專案生成一個宣告式 (Declarative) Jenkinsfile。流程應定義 `build`, `test`, 和 `package` 三個階段。- `agent` 應指定一個包含 JDK 11 和 Maven 的 Docker 容器。- `build` 階段：執行 `mvn compile`。- `test` 階段：執行 `mvn test` 並使用 `junit` 步驟來歸檔測試結果。- `package` 階段：執行 `mvn package` 並使用 `archiveArtifacts` 步驟來儲存生成的 `.jar` 檔案。","**宣告式語法** (`生成一個宣告式 Jenkinsfile`)：指定 Jenkinsfile 的現代語法，它比腳本式 (Scripted) 語法更結構化、更易於維護。**環境定義** (`agent 應指定一個...Docker 容器`)：展示如何在 CI/CD 流程中定義一個乾淨、可重複的建構環境。**產物管理** (`歸檔測試結果`, `儲存生成的.jar 檔案`)：要求 AI 整合 CI/CD 工具的產物管理功能，這對於追蹤建構結果和後續部署至關重要。"
"第 6 節：主動式維運 - AI 在生產監控與維護中的角色","6.1 對話式日誌分析與監控","趨勢分析與異常偵測","分析過去 24 小時內我們 `api-gateway` 服務的日誌。請回答以下問題：1. HTTP 5xx 錯誤率的整體趨勢是什麼？是否有任何異常的峰值？2. 哪個 API 端點的平均回應時間最長？3. 與前一天相比，今天的總請求量有何變化？","**自然語言查詢** (`分析...日誌`, `回答以下問題`)：將複雜的數據查詢需求用簡單的自然語言表達，AI 負責將其轉化為實際的數據分析操作 [22]。**多維度分析** (`錯誤率`, `回應時間`, `請求量`)：一次性提出多個維度的問題，讓 AI 進行全面的健康狀況評估。"
"第 6 節：主動式維運 - AI 在生產監控與維護中的角色","6.1 對話式日誌分析與監控","根本原因假設","在今天上午 10:05，我們的 `payment-service` 服務的錯誤率突然飆升。以下是該時間點前後 5 分鐘的日誌片段：[貼上日誌]。請分析這些日誌，並結合一個常見的微服務架構，提出三個最可能的根本原因。例如，是資料庫連接問題、下游服務 `fraud-detection-service` 超時，還是自身部署了有問題的新版本？","**情境與數據結合** (`在...時間點`, `以下是...日誌`)：提供具體的時間點和原始數據，為 AI 的分析提供堅實的基礎。**引導性假設** (`例如，是...`)：給出一些可能的方向，可以幫助 AI 更好地聚焦其分析範圍，並利用其知識庫對這些假設進行評估 [22, 23]。"
"第 6 節：主動式維運 - AI 在生產監控與維護中的角色","6.1 對話式日誌分析與監控","從日誌中提取使用者行為模式","請分析以下使用者活動日誌，這些日誌記錄了使用者在我們電子商務網站上的點擊流。請識別出使用者在購買流程中最常見的放棄點（即他們在哪個步驟之後離開的比例最高）。","**行為分析** (`識別出...最常見的放棄點`)：這是一個更偏向業務分析的應用，利用 AI 從原始日誌中提取出有價值的商業洞察，幫助優化產品和使用者體驗。"
