ID,主類別,次類別,任務,範例提示 (Prompt),關鍵要素與原理
4.3-1,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,為無註解的 Python 2 函式生成摘要和註解,"將整個函式或檔案的程式碼貼給 AI，並下達指令：「這是一個沒有文件的 Python 2 函式。請你：1. 用一段話總結這個函式的高層次功能。2. 為這段程式碼逐行或逐邏輯區塊，添加詳細的中文註解。」",**程式碼理解**：AI 快速理解並總結程式碼功能。**註解生成**：為無註解程式碼添加詳細註解。**加速理解**：將複雜程式碼轉化為可讀文件。
4.3-2,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,分析專案依賴並推測運行環境,"「分析這個 `requirements.txt` (或 `pom.xml`, `package.json`) 檔案。請列出所有外部依賴，並根據程式碼內容，推測每個函式庫在這個專案中的主要用途。同時，請推測執行此專案可能需要的環境變數或設定檔。」",**依賴分析**：AI 列出外部依賴並推測用途。**環境推測**：推測運行專案所需的環境變數和設定檔。**快速啟動**：縮短專案啟動準備時間。
4.3-3,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,從 Java Servlet 程式碼提煉保險費用計算邏輯,"「請分析這段 Java Servlet 程式碼。將其中處理『保險費用計算』的核心業務規則，從所有與 Web 框架和資料庫連接相關的樣板程式碼 (boilerplate) 中分離出來，並以偽代碼 (pseudocode) 的形式呈現。」",**業務邏輯提煉**：AI 從混雜程式碼中分離核心業務規則。**偽代碼呈現**：以清晰的偽代碼形式呈現邏輯。**重構基礎**：為後續重構或重寫提供基礎。
4.3-4,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,分析程式碼並識別壞味道及重構建議,"「(貼上一段程式碼後) 請分析這段程式碼，是否存在任何常見的『程式碼壞味道』，例如『上帝物件 (God Object)』、『義大利麵式程式碼 (Spaghetti Code)』或過多的重複程式碼？如果有的話，請指出具體位置，並建議可以採用的重構方法（例如：提煉函式、類別分離等）。」",**程式碼壞味道識別**：AI 識別常見的程式碼壞味道。**重構建議**：提供具體重構方法。**提升品質**：快速定位架構腐化點，改善程式碼品質。
4.3-5,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,為 Java EE 應用提供現代化遷移路徑建議,"「我們有一個使用 Struts 1 和 EJB 2.0 的舊 Java EE 應用。我們計畫將其現代化為一個基於 Spring Boot 3 和 JPA 的微服務。請為我們提供一份詳細的遷移步驟清單、需要注意的關鍵挑戰，以及推薦的工具。」",**遷移路徑建議**：AI 提供詳細的技術棧遷移步驟和挑戰。**現代化策略**：生成高品質的遷移計畫草稿。**風險規避**：避免遺漏關鍵環節，降低風險。
4.3-6,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,將 COBOL 程式翻譯成 Python 3 函式,"「這是一段用於計算利息的 COBOL 程式。請將其邏輯完整地翻譯成一個等效的 Python 3 函式。請保留原始的變數名（轉換為蛇形命名法），並添加註解來解釋每個計算步驟。」",**程式語言翻譯**：AI 將舊語言程式碼翻譯成現代語言。**邏輯等效**：確保翻譯後的邏輯與原始程式碼一致。**加速遷移**：處理困難的語言轉換，加速現代化進程。
4.3-7,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,為遺留系統複雜函式生成單元測試,"「(貼上一段準備重構的複雜函式後) 為了確保重構的安全性，請為這個函式生成一組全面的單元測試案例。請使用 `pytest` 框架，並盡可能多地覆蓋其所有的 `if/else` 分支和邊界條件。」",**測試安全網**：為無測試保護的遺留程式碼建立安全網。**全面覆蓋**：生成覆蓋所有分支和邊界條件的測試案例。**降低風險**：在修改程式碼後驗證功能，降低現代化風險。
4.3-8,第 4 節：高階應用：架構設計與程式碼現代化,4.3 解構遺留系統：程式碼庫分析與現代化策略,為遺留函式庫包裹 FastAPI API 介面,"「我已經理解了這段舊的函式庫的功能。現在，請為它包裹一層現代化的 API 介面。請使用 FastAPI 框架，建立一個 RESTful API 端點，接收 JSON 請求，內部呼叫這個舊函式，並將結果以 JSON 格式回傳。」",**API 包裹**：為遺留邏輯提供現代化 API 介面。**絞殺者模式**：實施逐步替換舊系統的策略。**逐步現代化**：讓新系統逐步、安全地取代舊系統功能。
4.4-1,第 4 節：高階應用：架構設計與程式碼現代化,4.4 自動化決策記錄：生成架構決策紀錄 (ADR),根據會議筆記生成快取方案技術選型 ADR,"「你是一位資深的技術文件撰寫者。請根據我以下的會議筆記，幫我生成一份標準格式的架構決策紀錄 (ADR)。\n\n請使用 Markdown 格式，並為 ADR 加上一個獨特的編號（例如 ADR-001）。文件需包含以下段落：\n\n- **標題**: 一個簡潔的標題\n- **狀態**: 已接受 (Accepted)\n- **背景 (Context)**: 描述我們面臨的問題或決策點。\n- **決策 (Decision)**: 清晰地說明我們最終選擇了什麼方案。\n- **後果 (Consequences)**: 條列出這個決策帶來的好處、壞處、以及我們接受的權衡取捨。\n\n---\n\n我的原始筆記:\n\n_開會討論快取層的方案。選項 A: 用 Google Cloud Memorystore (託管的 Redis)。好處是方便，不用自己管維運，Google 負責。壞處是比較貴，而且版本和配置的控制權比較少。選項 B: 自己在 GKE 上架 Redis 叢集。好處是省錢，完全控制。壞處是維運超麻煩，高可用、故障轉移、安全性都要自己搞。我們團隊 Dev 多，Ops 少。專案趕時間，Q3 一定要上線。最後決定：先用 Memorystore，快速上線最重要。我們接受初期成本可能高一點，也接受被廠商綁住。一年後再評估要不要自己架。_\n\n---」",**ADR 生成**：AI 自動生成標準格式的架構決策紀錄。**降低門檻**：極大降低記錄決策的成本。**知識傳承**：將隱性知識轉化為團隊顯性資產。
5.1-1,第 5 節：風險、原則與未來展望,5.1 「信任但驗證」原則：對抗程式碼幻覺與隱藏的缺陷,識別 AI 生成程式碼中的邏輯錯誤,"要求 AI 寫一個函式，找出列表中的第二大數字。AI 可能的產出：\n\nPython\n\n```\ndef find_second_largest(numbers: list[int]) -> int | None:\n    if len(numbers) < 2:\n        return None\n    unique_numbers = sorted(list(set(numbers)), reverse=True)\n    if len(unique_numbers) < 2:\n        return None\n    return unique_numbers[1]\n```\n\n缺陷分析：這段程式碼看起來很合理，它先用 `set` 去重，然後排序。對於 `[1, 5, 2, 8, 3]` 這樣的輸入，它能正確回傳 `5`。但一位資深工程師會立刻質疑：\n- **效能問題**：`set` 和 `sorted` 操作都需要 `O(N log N)` 或 `O(N)` 的時間複雜度。對於一個極大的列表，僅需一次遍歷 `O(N)` 即可解決，這個實作顯然不是最優的。\n- **需求誤解**：如果需求是「找出數值第二大的元素」而非「第二大的不重複元素」，那麼對於輸入 `[8, 8, 7]`，預期結果應為 `8`，而此函式會回傳 `7`。\n驗證策略：為您的核心演算法與邏輯撰寫嚴格的單元測試，務必包含邊界情況（空列表、單一元素列表、全相等元素列表）和效能考量。",**程式碼幻覺**：AI 生成語法正確但邏輯有缺陷的程式碼。**邏輯錯誤識別**：資深工程師需識別邊界條件和需求誤解。**驗證策略**：透過單元測試和效能考量進行驗證。
5.1-2,第 5 節：風險、原則與未來展望,5.1 「信任但驗證」原則：對抗程式碼幻覺與隱藏的缺陷,識別 AI 生成程式碼中的隱藏效能問題,"要求 AI 寫一個函式，檢查兩個列表是否有共同的元素。AI 可能的產出：\n\nPython\n\n```\ndef has_common_element(list1: list, list2: list) -> bool:\n    for item1 in list1:\n        for item2 in list2:\n            if item1 == item2:\n                return True\n    return False\n```\n\n缺陷分析：對於小列表，這段 `O(n*m)` 的雙重迴圈程式碼可以運作。但如果這兩個列表各有數萬個元素，這個操作將會導致災難性的效能問題。一位有經驗的工程師會立刻想到，將其中一個列表轉換為集合 (Set)，利用其 `O(1)` 的平均查找時間，將整體複雜度降至 `O(n+m)`。\n驗證策略：進行程式碼審查時，對迴圈和資料處理保持「演算法複雜度」的警覺。對於效能敏感的區段，使用 `cProfile` 等工具進行效能剖析。",**效能問題**：AI 生成的程式碼可能在演算法效率上是次等的。**複雜度警覺**：資深工程師需警覺迴圈和資料處理的演算法複雜度。**驗證策略**：透過程式碼審查和效能剖析進行驗證。
5.1-3,第 5 節：風險、原則與未來展望,5.1 「信任但驗證」原則：對抗程式碼幻覺與隱藏的缺陷,識別 AI 生成程式碼中的潛在安全漏洞,"要求 AI 寫一個 Flask 的 API，用於讀取並回傳伺服器上的圖片。AI 可能的產出：\n\nPython\n\n```\nfrom flask import Flask, request, send_from_directory\n\napp = Flask(__name__)\nIMAGE_DIR = "/var/www/images"\n\n@app.route("/images")\ndef get_image():\n    filename = request.args.get(\'filename\')\n    # 危險！直接將使用者輸入拼接到檔案路徑\n    return send_from_directory(IMAGE_DIR, filename) \n```\n\n缺陷分析：這段程式碼存在典型的**路徑遍歷 (Path Traversal)** 漏洞。如果使用者傳入的 `filename` 是 `../../etc/passwd`，伺服器的敏感檔案就可能被洩漏。AI 只完成了「讀取檔案」的任務，卻沒有考慮到「安全地讀取檔案」這個隱含的需求。\n驗證策略：實施 SAST（靜態應用程式安全測試）工具掃描，進行依賴項安全掃描（例如 Dependabot），並由具備安全意識的開發者進行人工審查，對所有處理使用者輸入的地方保持高度警惕。",**安全漏洞**：AI 生成的程式碼可能存在安全漏洞，如路徑遍歷。**安全意識**：資深工程師需警惕使用者輸入處理。**驗證策略**：透過 SAST、依賴掃描和人工審查進行驗證。
5.1-4,第 5 節：風險、原則與未來展望,5.1 「信任但驗證」原則：對抗程式碼幻覺與隱藏的缺陷,識別 AI 生成程式碼中過時或不恰當的 API/函式庫使用,"要求 AI 寫一段程式碼來解析 XML。AI 可能的產出：可能會建議使用 `xml.etree.ElementTree`，這沒有問題。但它也可能在某些情境下建議使用較舊或有安全疑慮的 `xml.dom.minidom`，或者為了一個極簡單的任務而引入一個龐大的第三方函式庫。\n驗證策略：對於 AI 建議引入的新依賴，查閱其官方文件，確認其維護狀態與適用場景。定期審查專案的依賴清單。",**過時 API/函式庫**：AI 可能建議使用過時或不恰當的 API/函式庫。**知識截止日期**：模型知識有截止日期，可能導致建議過時。**驗證策略**：查閱官方文件，確認依賴狀態。
5.2-1,第 5 節：風險、原則與未來展望,5.2 駕馭 AI 的侷限：理解並管理上下文視窗與知識截點,理解 AI 上下文視窗的侷限性,"上下文視窗，是指在單次對話或請求中，LLM 能夠同時「看到」和處理的資訊總量，通常以「權杖 (Token)」為單位計算。您輸入的每一個提示、貼上的每一個提示、AI 自己產生的每一個回應，都會佔用這個視窗的空間。當對話越來越長，最早的資訊就會被「擠出」視窗，AI 也會隨之「遺忘」這些資訊。",**上下文視窗**：AI 的短期工作記憶，限制單次處理資訊總量。**權杖計算**：輸入和輸出都佔用視窗空間。**資訊遺忘**：對話過長會導致早期資訊被遺忘。
5.3-1,第 5 節：風險、原則與未來展望,5.3 智慧財產權與安全：在 AI 時代的程式碼治理,理解 AI 生成程式碼的智慧財產權與安全議題,"使用 AI 生成的程式碼會帶來新的智財權與安全議題。本節將討論使用開源資料訓練的 LLM 可能產生的程式碼授權問題，以及如何避免在與公有雲 AI 的互動中洩漏公司敏感資訊或密鑰，並建立團隊內的使用規範。",**智財權議題**：AI 生成程式碼可能涉及授權問題。**安全風險**：避免敏感資訊洩漏。**使用規範**：建立團隊內部使用 AI 的規範。
5.4-1,第 5 節：風險、原則與未來展望,5.4 下一個前沿：從程式碼生成到代理式開發 (Agent-Based Development),理解代理式開發對軟體開發的影響,"Vibe Coding 正在演進。本節將展望未來，探討能夠自主規劃、執行、除錯的 AI 代理 (AI Agent) 將如何進一步改變軟體開發。我們將討論這對架構師和開發團隊的潛在影響，以及現在可以開始培養的相關技能。",**代理式開發**：AI 代理自主規劃、執行和除錯。**未來趨勢**：理解 AI 代理對開發模式的潛在影響。**技能培養**：培養適應未來開發模式的相關技能。
6.1-1,第 6 節：代理式開發實踐：從副駕到自主執行團隊,6.1 代理式開發的核心心態：從「指令者」到「委託者」,理解代理式開發的核心心態轉變,"本節旨在建立一個根本性的心態轉變。代理式開發的成功關鍵，不再是您能否寫出一個完美的、指導 AI 如何做的提示 (Prompt)，而是您能否定義出一個清晰的、可驗證的、關於「做什麼」(What) 與「完成標準」(Definition of Done) 的任務委託。我們將探討這種從「微觀管理」到「目標管理」的轉變，以及它如何要求開發者將重心從「編碼能力」轉移到「規格定義與系統思考能力」。",**心態轉變**：從指令者轉變為委託者。**目標管理**：定義清晰的任務和完成標準。**能力轉移**：重心從編碼轉向規格定義和系統思考。
6.2-1,第 6 節：代理式開發實踐：從副駕到自主執行團隊,6.2 設計「可代理」的任務：規格驅動的提示工程,撰寫能讓 AI 代理精確執行的任務規格書,"本節將深入探討如何撰寫一份能讓 AI 代理精確執行的「任務規格書」。這是一種更高層次的提示工程。我們將介紹一份高品質任務規格的四大組成要件：明確的最終目標 (Goal)、不可逾越的約束條件 (Constraints)、客觀的驗收標準 (Acceptance Criteria)，以及必要的上下文資源 (Contextual Resources)。本節將透過範例，展示如何將一個模糊的需求，轉化為一份 AI 代理可以理解並據以行動的、結構化的開發任務。",**任務規格書**：撰寫高品質的任務規格。**四大組成要件**：目標、約束、驗收標準、上下文資源。**結構化任務**：將模糊需求轉化為 AI 可理解的任務。
6.3-1,第 6 節：代理式開發實踐：從副駕到自主執行團隊,6.3 現代 AI 開發工具中的代理實踐,在 AI 開發工具中實踐代理式開發,"本節將聚焦於將代理式理念應用於您熟悉的工具中。我們將分析 GitHub Copilot 和 Gemini Code Assist 這類工具，如何透過指令鏈 (Command Chaining) 和更強的上下文理解能力，逐步展現出代理的雛形。我們將透過範例展示，如何下達一個更高層次的指令，例如：「請為 `auth-service` 增加 OIDC 支援，參考現有的單元測試風格補齊測試案例，並執行所有相關測試以確保沒有破壞性變更。」，並讓 AI 工具自主地完成一系列連貫的操作。",**代理實踐**：在現有 AI 工具中應用代理式理念。**指令鏈**：透過高層次指令讓 AI 自主完成連貫操作。**工具整合**：利用 GitHub Copilot 和 Gemini Code Assist 的代理能力。
6.4-1,第 6 節：代理式開發實踐：從副駕到自主執行團隊,6.4 建立與管理您的 AI 開發團隊：多代理協作,建立和管理多代理協作的 AI 開發團隊,"本節將探討代理式開發的終極形態——多個專職 AI 代理的協同作業。單一的通用代理能力有限，但一個由不同角色的代理組成的「虛擬團隊」將極具威力。我們將構想一個包含「規劃代理」、「編碼代理」、「測試代理」與「安全審計代理」的協作流程。作為架構師，您的新角色是設計這個 AI 團隊的結構、定義它們之間的「工作交接」協議，並監督整個自主開發流程的健康度，將架構師的職責提升到前所未有的「系統設計與流程設計」的高度。",**多代理協作**：多個專職 AI 代理協同作業。**虛擬團隊**：由不同角色代理組成的 AI 開發團隊。**架構師角色**：設計 AI 團隊結構、定義工作交接協議、監督開發流程.
